base_month;account_id;account_status;feature_status;segment;region;service_level;consumption;cost;revenue
01/02/2024;5935305;Assinante;Trial;C;PB;0.843;243,00;70,47;0,00
01/02/2024;5976021;Assinante;Trial;C;RJ;0.881;91,00;26,39;0,00
01/02/2024;6000321;Assinante;Trial;C;RJ;0.902;14,00;4,06;0,00
01/02/2024;6017466;Assinante;Trial;C;PB;0.868;6,00;17399999999999900,00;0,00
01/02/2024;6169152;Assinante;Trial;C;SP;0.872;31,00;8,99;0,00
01/02/2024;6224178;Assinante;Trial;C;RJ;0.877;76,00;22,04;0,00
01/02/2024;6239163;Assinante;Trial;C;SP;0.847;97,00;28,13;0,00
01/02/2024;6246399;Assinante;Trial;C;SP;0.851;3,00;0,87;0,00
01/02/2024;6257253;Assinante;Trial;C;SP;0.834;34,00;9,86;0,00
01/02/2024;6265947;Assinante;Trial;C;RJ;0.843;76,00;22,04;0,00
01/02/2024;6310713;Assinante;Trial;C;RJ;0.838;0,00;0,00;0,00
01/02/2024;6345759;Assinante;Trial;C;SP;0.834;107,00;31,03;0,00
01/02/2024;6384693;Assinante;Trial;C;PB;0.847;82,00;23,78;0,00
01/02/2024;6400785;Assinante;Trial;C;SP;0.868;66,00;19,14;0,00
01/02/2024;6415311;Assinante;Trial;C;RJ;0.8;7,00;2,03;0,00
01/02/2024;6443256;Assinante;Trial;C;SP;0.868;3,00;0,87;0,00
01/02/2024;6524391;Assinante;Trial;C;PB;0.868;18,00;5,22;0,00
01/02/2024;6602259;Assinante;Trial;C;SP;0.834;30,00;8,70;0,00
01/02/2024;6613248;Assinante;Trial;C;MG;0.838;41,00;11,89;0,00
01/02/2024;6631419;Assinante;Trial;C;SP;0.843;31,00;8,99;0,00
01/02/2024;6684015;Assinante;Trial;C;RJ;0.834;1,00;0,29;0,00
01/02/2024;6883410;Assinante;Trial;C;SP;0.843;28,00;8,12;0,00
01/02/2024;6915972;Assinante;Trial;C;RJ;0.847;54,00;15659999999999900,00;0,00
01/02/2024;7003938;Assinante;Trial;C;RJ;0.864;6,00;17399999999999900,00;0,00
01/02/2024;7022433;Assinante;Trial;C;MG;0.826;13,00;3,77;0,00
01/02/2024;7224042;Assinante;Trial;C;RJ;0.894;9,00;2,61;0,00
01/02/2024;7538754;Assinante;Trial;C;RJ;0.826;25,00;7249999999999990,00;0,00
01/02/2024;7586166;Assinante;Trial;C;SP;0.872;85,00;24,65;0,00
01/02/2024;7587732;Assinante;Trial;C;SP;0.838;52,00;15079999999999900,00;0,00
01/02/2024;7607469;Assinante;Trial;C;CE;0.817;50,00;14499999999999900,00;0,00
01/02/2024;7616082;Assinante;Trial;C;RJ;0.855;11,00;3,19;0,00
01/02/2024;7730508;Assinante;Trial;B;SP;0.902;235,00;6814999999999990,00;0,00
01/02/2024;7735206;Assinante;Trial;C;PB;0.851;44,00;12,76;0,00
01/02/2024;7858461;Assinante;Trial;C;SP;0.817;13,00;3,77;0,00
01/02/2024;7990383;Assinante;Trial;C;CE;0.855;39,00;11,31;0,00
01/02/2024;8047812;Assinante;Trial;C;RJ;0.847;26,00;7539999999999990,00;0,00
01/02/2024;8111937;Assinante;Trial;C;SP;0.877;81,00;23,49;0,00
01/02/2024;8300370;Assinante;Trial;C;CE;0.851;5,00;1,45;0,00
01/02/2024;8327856;Assinante;Trial;C;SP;0.826;68,00;19,72;0,00
01/02/2024;8331447;Assinante;Trial;C;PB;0.821;12,00;34799999999999900,00;0,00
01/02/2024;8408856;Assinante;Trial;B;PB;0.868;2,00;0,58;0,00
01/02/2024;8489316;Assinante;Trial;C;MG;0.843;24,00;6959999999999990,00;0,00
01/02/2024;8515776;Assinante;Trial;C;MG;0.821;2,00;0,58;0,00
01/02/2024;8579550;Assinante;Trial;C;PB;0.864;19,00;5,51;0,00
01/02/2024;8794254;Assinante;Trial;C;CE;0.83;143,00;41,47;0,00
01/02/2024;8844042;Assinante;Trial;C;SP;0.881;51,00;14,79;0,00
01/02/2024;8925123;Assinante;Trial;C;SP;0.83;23,00;6,67;0,00
01/02/2024;9276582;Assinante;Trial;C;SP;0.881;69,00;20,01;0,00
01/02/2024;9291675;Assinante;Trial;C;SP;0.843;20,00;5,80;0,00
01/02/2024;9335847;Assinante;Trial;C;PB;0.86;11,00;3,19;0,00
01/02/2024;9384582;Assinante;Trial;C;SP;0.86;17,00;4,93;0,00
01/02/2024;9391710;Assinante;Trial;C;PB;0.821;6,00;17399999999999900,00;0,00
01/02/2024;9524820;Assinante;Trial;C;SP;0.872;29,00;8,41;0,00
01/02/2024;9550740;Assinante;Trial;C;SP;0.86;23,00;6,67;0,00
01/02/2024;9589134;Assinante;Trial;C;SP;0.894;18,00;5,22;0,00
01/02/2024;9592779;Assinante;Trial;C;SP;0.838;24,00;6959999999999990,00;0,00
01/02/2024;9672429;Assinante;Trial;B;RJ;0.86;126,00;36,54;0,00
01/02/2024;9763635;Assinante;Trial;C;SP;0.889;43,00;12,47;0,00
01/02/2024;9815691;Assinante;Trial;C;MG;0.821;36,00;10,44;0,00
01/02/2024;9850332;Assinante;Trial;C;MG;0.843;20,00;5,80;0,00
01/02/2024;9908571;Assinante;Trial;C;PB;0.86;118,00;34,22;0,00
01/02/2024;9975018;Assinante;Trial;C;SP;0.86;58,00;16,82;0,00
01/02/2024;10070355;Assinante;Trial;C;MG;0.843;27,00;7829999999999990,00;0,00
01/02/2024;10092414;Assinante;Trial;C;CE;0.855;4,00;1,16;0,00
01/02/2024;10121844;Assinante;Trial;C;SP;0.889;24,00;6959999999999990,00;0,00
01/02/2024;10160049;Assinante;Trial;C;SP;0.855;11,00;3,19;0,00
01/02/2024;10210188;Assinante;Trial;C;RJ;0.855;68,00;19,72;0,00
01/02/2024;10286166;Assinante;Trial;C;PB;0.851;128,00;37,12;0,00
01/02/2024;10298127;Assinante;Trial;C;SP;0.847;18,00;5,22;0,00
01/02/2024;10308360;Assinante;Trial;C;RJ;0.86;16,00;4,64;0,00
01/02/2024;10347591;Assinante;Trial;C;RJ;0.83;11,00;3,19;0,00
01/02/2024;10439067;Assinante;Trial;C;SP;0.851;64,00;18,56;0,00
01/02/2024;10445304;Assinante;Trial;C;SP;0.872;141,00;40,89;0,00
01/02/2024;10477623;Assinante;Trial;C;SP;0.851;8,00;2,32;0,00
01/02/2024;10521417;Assinante;Trial;C;SP;0.864;28,00;8,12;0,00
01/02/2024;10575606;Assinante;Trial;C;MG;0.872;65,00;18,85;0,00
01/02/2024;10659792;Assinante;Trial;C;PB;0.847;4,00;1,16;0,00
01/02/2024;10858620;Assinante;Trial;C;CE;0.847;44,00;12,76;0,00
01/02/2024;10952958;Assinante;Trial;B;SP;0.894;382,00;110,78;0,00
01/02/2024;10969212;Assinante;Trial;C;MG;0.826;21,00;6,09;0,00
01/02/2024;10975773;Assinante;Trial;C;RJ;0.834;29,00;8,41;0,00
01/02/2024;11004609;Assinante;Trial;C;PB;0.834;8,00;2,32;0,00
